{229}{356}saa ikou
{356}{427}yume ni mita shima he to
{427}{581}nami wo koete kaze ni notte umi he deyou
{581}{728}ikute ni wa minna mada shiranai
{728}{874}fushigi na hiru to yoru toga matte iru darou
{874}{1035}itsumo shinjiyou magokoro wo
{1035}{1183}yuuki wo mune ni susumou yo
{1183}{1347}tada hitotsu no akogare dake wa
{1347}{1563}doko no dare ni mo kese wa shinai sa
{1619}{1801}tada hitotsu no akogare dake wa
{1801}{2040}doko no dare ni mo kese wa shinai sa
{299}{312}|ÿ       
{312}{318}|  ÿ     
{318}{330}|    ÿ   
{330}{336}|      ÿ 
{336}{355}|       ÿ
{361}{368}|ÿ                       
{368}{375}|  ÿ                     
{375}{381}|     ÿ                  
{381}{387}|        ÿ               
{387}{393}|          ÿ             
{393}{399}|             ÿ          
{399}{405}|                ÿ       
{405}{411}|                   ÿ    
{411}{426}|                      ÿ 
{435}{441}|ÿ                                       
{441}{449}|  ÿ                                     
{449}{461}|     ÿ                                  
{461}{467}|        ÿ                               
{467}{478}|          ÿ                             
{478}{485}|           ÿ                            
{485}{491}|              ÿ                         
{491}{498}|                ÿ                       
{498}{504}|                   ÿ                    
{504}{516}|                      ÿ                 
{516}{523}|                        ÿ               
{523}{529}|                         ÿ              
{529}{535}|                            ÿ           
{535}{540}|                             ÿ          
{540}{546}|                                ÿ       
{546}{555}|                                   ÿ     
{555}{561}|                                     ÿ  
{561}{580}|                                       ÿ
{596}{612}|ÿ                              
{612}{617}| ÿ                             
{617}{631}|   ÿ                           
{631}{637}|      ÿ                        
{637}{657}|         ÿ                     
{661}{667}|            ÿ                  
{667}{673}|              ÿ                
{673}{680}|               ÿ               
{680}{686}|                  ÿ            
{686}{692}|                    ÿ          
{692}{698}|                       ÿ       
{698}{705}|                          ÿ    
{705}{711}|                            ÿ  
{711}{727}|                              ÿ
{738}{744}|ÿ                                           
{744}{750}|  ÿ                                         
{750}{757}|     ÿ                                      
{757}{762}|        ÿ                                   
{762}{768}|           ÿ                                
{768}{779}|             ÿ                              
{779}{786}|                ÿ                           
{786}{792}|                   ÿ                        
{792}{800}|                     ÿ                      
{800}{806}|                        ÿ                   
{806}{822}|                          ÿ                 
{822}{829}|                             ÿ              
{829}{836}|                               ÿ            
{836}{843}|                                ÿ           
{843}{849}|                                   ÿ        
{849}{856}|                                    ÿ       
{856}{862}|                                       ÿ    
{862}{873}|                                         ÿ  
{881}{887}|ÿ                           
{887}{895}| ÿ                          
{895}{903}|    ÿ                       
{903}{919}|       ÿ                    
{919}{924}|          ÿ                 
{924}{930}|           ÿ                
{934}{940}|             ÿ              
{940}{958}|               ÿ            
{976}{993}|                 ÿ          
{993}{998}|                   ÿ        
{998}{1011}|                     ÿ      
{1011}{1016}|                       ÿ    
{1016}{1034}|                          ÿ 
{1050}{1067}|ÿ                          
{1071}{1078}|   ÿ                       
{1078}{1084}|      ÿ                    
{1084}{1090}|         ÿ                 
{1090}{1102}|           ÿ               
{1107}{1121}|              ÿ            
{1127}{1142}|                 ÿ         
{1146}{1153}|                   ÿ       
{1153}{1159}|                     ÿ     
{1159}{1165}|                       ÿ   
{1165}{1182}|                         ÿ 
{1195}{1201}|ÿ                              
{1201}{1214}|  ÿ                            
{1219}{1227}|     ÿ                         
{1227}{1233}|       ÿ                       
{1233}{1240}|         ÿ                     
{1240}{1262}|             ÿ                 
{1269}{1276}|                ÿ              
{1276}{1291}|                 ÿ             
{1295}{1302}|                   ÿ           
{1302}{1308}|                     ÿ         
{1308}{1315}|                        ÿ      
{1315}{1333}|                          ÿ    
{1333}{1346}|                             ÿ 
{1351}{1357}|ÿ                                   
{1357}{1364}|  ÿ                                 
{1364}{1371}|     ÿ                              
{1371}{1378}|        ÿ                           
{1378}{1385}|          ÿ                         
{1385}{1392}|             ÿ                      
{1392}{1401}|                ÿ                   
{1407}{1414}|                   ÿ                
{1414}{1421}|                     ÿ              
{1421}{1428}|                        ÿ           
{1428}{1456}|                           ÿ        
{1462}{1476}|                              ÿ     
{1480}{1494}|                                ÿ   
{1498}{1548}|                                  ÿ 
{1640}{1659}|ÿ                              
{1659}{1671}|  ÿ                            
{1671}{1678}|     ÿ                         
{1678}{1684}|       ÿ                       
{1684}{1691}|         ÿ                     
{1691}{1718}|             ÿ                 
{1722}{1730}|                ÿ              
{1730}{1747}|                 ÿ             
{1747}{1755}|                   ÿ           
{1755}{1762}|                     ÿ         
{1762}{1769}|                        ÿ      
{1769}{1785}|                          ÿ    
{1785}{1800}|                             ÿ 
{1805}{1811}|ÿ                                   
{1811}{1818}|  ÿ                                 
{1818}{1826}|     ÿ                              
{1826}{1832}|        ÿ                           
{1832}{1838}|          ÿ                         
{1838}{1845}|             ÿ                      
{1845}{1853}|                ÿ                   
{1858}{1866}|                   ÿ                
{1866}{1875}|                     ÿ              
{1875}{1881}|                        ÿ           
{1881}{1909}|                           ÿ        
{1913}{1929}|                              ÿ     
{1933}{1948}|                                ÿ   
{1953}{2010}|                                  ÿ 
