{311}{575}wakariaeru koto bakari de wa
{575}{789}koi wa shizunde shimau
{957}{1188}kimi no koto o korosanai youni
{1188}{1364}koi o nakusanai youni
{1364}{1462}koko kara mitsumeru
{1462}{1568}sora no sugata wa
{1568}{1684}kimi no samishisa to
{1684}{1795}dokoka niteiru
{1795}{2019}nemurenai yoru ga aru nara
{2019}{2237}yawara kana te de aritai
{2237}{2461}tooku e tooku e
{2461}{2643}kaze fuiteru
{2657}{2904}tooku e tooku e
{2904}{3095}kaze fuiteru
{381}{388}|ÿ                           
{388}{395}|  ÿ                         
{395}{405}|    ÿ                       
{410}{424}|      ÿ                     
{429}{432}|       ÿ                    
{437}{472}|        ÿ                   
{493}{500}|           ÿ                
{500}{507}|             ÿ              
{507}{516}|                ÿ           
{520}{535}|                  ÿ         
{540}{545}|                    ÿ       
{549}{557}|                       ÿ    
{561}{574}|                          ÿ 
{582}{603}|ÿ                     
{611}{630}|  ÿ                   
{639}{664}|    ÿ                 
{674}{680}|       ÿ              
{680}{688}|          ÿ           
{692}{707}|            ÿ         
{712}{722}|             ÿ        
{727}{731}|                ÿ     
{735}{745}|                   ÿ  
{751}{774}|                     ÿ
{992}{995}  |ÿ                             
{999}{1007} |  ÿ                           
{1007}{1016}|     ÿ                        
{1020}{1036}|        ÿ                     
{1041}{1044}|          ÿ                   
{1048}{1074}|             ÿ                
{1104}{1107}|               ÿ              
{1111}{1117}|                 ÿ            
{1117}{1127}|                   ÿ          
{1131}{1145}|                     ÿ        
{1151}{1155}|                       ÿ      
{1160}{1168}|                         ÿ    
{1172}{1187}|                            ÿ 
{1195}{1215}|ÿ                    
{1222}{1243}|  ÿ                  
{1249}{1272}|    ÿ                
{1284}{1287}|      ÿ              
{1292}{1298}|        ÿ            
{1298}{1301}|          ÿ          
{1305}{1314}|            ÿ        
{1318}{1324}|              ÿ      
{1324}{1337}|                ÿ    
{1343}{1363}|                   ÿ 
{1374}{1377}|ÿ                  
{1382}{1389}|  ÿ                
{1389}{1396}|     ÿ             
{1396}{1403}|       ÿ           
{1407}{1416}|          ÿ        
{1422}{1431}|            ÿ      
{1435}{1443}|               ÿ   
{1448}{1461}|                 ÿ 
{1470}{1478}|ÿ                
{1485}{1489}|  ÿ              
{1494}{1501}|     ÿ           
{1506}{1515}|        ÿ        
{1520}{1528}|          ÿ      
{1532}{1541}|            ÿ    
{1546}{1567}|               ÿ 
{1596}{1600}|ÿ                   
{1604}{1607}|  ÿ                 
{1611}{1618}|     ÿ              
{1618}{1625}|        ÿ           
{1629}{1638}|          ÿ         
{1644}{1651}|            ÿ       
{1657}{1665}|               ÿ    
{1671}{1683}|                  ÿ 
{1691}{1697}|ÿ             
{1702}{1708}|  ÿ           
{1712}{1717}|    ÿ         
{1721}{1731}|       ÿ      
{1731}{1738}|         ÿ    
{1742}{1748}|           ÿ  
{1748}{1794}|            ÿ 
{1805}{1820}|ÿ                         
{1831}{1838}|  ÿ                       
{1846}{1853}|    ÿ                     
{1860}{1878}|      ÿ                   
{1888}{1901}|        ÿ                 
{1928}{1933}|          ÿ               
{1942}{1949}|            ÿ             
{1958}{1964}|               ÿ          
{1971}{1977}|                  ÿ       
{1985}{1989}|                   ÿ      
{1997}{2004}|                      ÿ   
{2012}{2018}|                        ÿ 
{2027}{2048}|ÿ                       
{2055}{2060}|  ÿ                     
{2068}{2074}|    ÿ                   
{2081}{2102}|       ÿ                
{2110}{2125}|         ÿ              
{2136}{2144}|            ÿ           
{2151}{2156}|               ÿ        
{2165}{2173}|                  ÿ     
{2179}{2186}|                   ÿ    
{2193}{2214}|                     ÿ  
{2220}{2236}|                       ÿ
{2248}{2256}|ÿ              
{2262}{2277}|  ÿ            
{2282}{2294}|   ÿ           
{2298}{2345}|      ÿ        
{2352}{2355}|        ÿ      
{2360}{2366}|          ÿ    
{2373}{2399}|           ÿ   
{2399}{2460}|              ÿ
{2470}{2477}|ÿ           
{2483}{2496}|  ÿ         
{2504}{2521}|     ÿ      
{2526}{2545}|       ÿ    
{2554}{2576}|        ÿ   
{2582}{2628}|          ÿ 
{2692}{2699}|ÿ              
{2705}{2719}|  ÿ            
{2724}{2737}|   ÿ           
{2741}{2789}|      ÿ        
{2795}{2802}|        ÿ      
{2802}{2810}|          ÿ    
{2815}{2839}|           ÿ   
{2845}{2903}|              ÿ
{2914}{2921}|ÿ           
{2928}{2940}|  ÿ         
{2947}{2964}|     ÿ      
{2969}{2988}|       ÿ    
{2997}{3018}|        ÿ   
{3026}{3065}|          ÿ 
