{0}{213}hitotsume no kotoba wa yume
{213}{396}nemuri no naka kara
{396}{658}mune no oku no kurayami wo sotto 
{658}{779}tsuredasu no 
{791}{1014}futatsume no kotoba wa kaze
{1014}{1185}yukute wo oshiete
{1195}{1398}kamisama no ude no naka e
{1398}{1562}tsubasa wo aoru no
{1562}{1792}tokete itta kanashii koto wo 
{1792}{1932}kazoeru youni
{1932}{2188}kin'iro no ringo ga
{2188}{2395}mata hitotsu ochiru
{36}{46}|ÿ                          
{59}{70}|  ÿ                        
{83}{97}|    ÿ                      
{109}{113}|       ÿ                   
{119}{123}|          ÿ                
{131}{143}|             ÿ             
{154}{159}|               ÿ           
{165}{169}|                 ÿ         
{175}{180}|                    ÿ      
{186}{191}|                       ÿ   
{199}{212}|                         ÿ 
{226}{242}|ÿ                  
{252}{257}|  ÿ                
{262}{267}|    ÿ              
{274}{286}|       ÿ           
{299}{308}|          ÿ        
{316}{319}|            ÿ      
{323}{337}|               ÿ   
{346}{378}|                 ÿ 
{426}{444}|ÿ                                
{456}{468}|  ÿ                              
{478}{492}|     ÿ                           
{503}{508}|        ÿ                        
{515}{520}|         ÿ                       
{529}{541}|            ÿ                    
{551}{556}|               ÿ                 
{564}{568}|                 ÿ               
{574}{579}|                   ÿ             
{585}{589}|                     ÿ           
{598}{615}|                        ÿ        
{629}{643}|                           ÿ     
{650}{657}|                             ÿ   
{663}{668}|ÿ            
{674}{691}|   ÿ         
{697}{711}|     ÿ       
{716}{721}|       ÿ     
{725}{764}|          ÿ  
{826}{845}|ÿ                          
{856}{868}|  ÿ                        
{879}{891}|    ÿ                      
{903}{908}|       ÿ                   
{915}{919}|          ÿ                
{926}{939}|             ÿ             
{951}{955}|               ÿ           
{960}{964}|                 ÿ         
{970}{976}|                    ÿ      
{983}{988}|                       ÿ   
{995}{1013}|                         ÿ 
{1021}{1038}|ÿ                
{1046}{1051}|  ÿ              
{1057}{1062}|    ÿ            
{1070}{1083}|       ÿ         
{1094}{1106}|          ÿ      
{1111}{1118}|           ÿ     
{1118}{1130}|              ÿ  
{1142}{1170}|               ÿ 
{1230}{1237}|ÿ                        
{1243}{1261}|  ÿ                      
{1268}{1282}|    ÿ                    
{1292}{1298}|      ÿ                  
{1303}{1309}|         ÿ               
{1313}{1330}|            ÿ            
{1338}{1345}|             ÿ           
{1350}{1355}|                ÿ        
{1361}{1367}|                   ÿ     
{1372}{1376}|                     ÿ   
{1384}{1397}|                        ÿ
{1416}{1430}|ÿ                 
{1439}{1445}|   ÿ              
{1451}{1456}|     ÿ            
{1462}{1474}|        ÿ         
{1486}{1497}|           ÿ      
{1503}{1509}|            ÿ     
{1509}{1530}|             ÿ    
{1537}{1561}|                ÿ 
{1599}{1604}|ÿ                            
{1609}{1613}|  ÿ                          
{1620}{1632}|    ÿ                        
{1642}{1648}|       ÿ                     
{1653}{1657}|        ÿ                    
{1665}{1681}|         ÿ                   
{1690}{1695}|            ÿ                
{1703}{1706}|              ÿ              
{1714}{1728}|                ÿ            
{1737}{1742}|                     ÿ       
{1748}{1752}|                       ÿ     
{1760}{1791}|                          ÿ  
{1808}{1823}|ÿ            
{1830}{1835}|  ÿ          
{1841}{1845}|    ÿ        
{1852}{1866}|     ÿ       
{1876}{1894}|        ÿ    
{1900}{1931}|           ÿ 
{1973}{1983}|ÿ                  
{1987}{1994}|  ÿ                
{1999}{2015}|    ÿ              
{2023}{2028}|     ÿ             
{2034}{2038}|        ÿ          
{2046}{2060}|           ÿ       
{2068}{2089}|             ÿ     
{2094}{2132}|              ÿ    
{2139}{2187}|                 ÿ 
{2219}{2223}|ÿ                  
{2229}{2232}|  ÿ                
{2239}{2254}|     ÿ             
{2263}{2270}|       ÿ           
{2276}{2281}|         ÿ         
{2288}{2295}|             ÿ     
{2299}{2306}|              ÿ    
{2314}{2365}|                 ÿ 
