{38}{191}{c:$00FFFF}nani ka iikoto naikana
{191}{268}{c:$00FFFF}soyogu mono kana
{268}{383}{c:$00FFFF}kaze wa nani mo tsugezu
{383}{453}{c:$00FFFF}tada sugiteyuku
{453}{560}{c:$00FFFF}nazo nazo kotae wa
{560}{669}{c:$00FFFF}sora no mukou ni
{669}{763}{c:$00FFFF}yume de mita koto aru
{763}{895}{c:$00FFFF}kono michi o itte miyou yo
{895}{1003}{c:$00FFFF}kitto kitto kono hou yo
{1003}{1097}{c:$00FFFF}kitto kitto kono atari yo
{1097}{1271}{c:$00FFFF}kyou no hana wo sou asu ni todokeyou
{1275}{1385}{c:$00FFFF}chiisana ashioto kasanete
{1385}{1483}{c:$00FFFF}ai no RYTHM o narasou
{1483}{1578}{c:$00FFFF}futari de aeta yorokobi ga
{1578}{1670}{c:$00FFFF}sora ni hibiki hirogaru
{1670}{1795}{c:$00FFFF}kyou no hana wa hikari yo
{108}{111}|ÿ                     
{117}{119}|  ÿ                   
{124}{127}|     ÿ                
{132}{136}|        ÿ             
{136}{140}|         ÿ            
{140}{144}|          ÿ           
{148}{156}|            ÿ         
{156}{160}|               ÿ      
{165}{167}|                 ÿ    
{172}{175}|                  ÿ   
{180}{190}|                    ÿ 
{203}{207}|ÿ               
{212}{215}|  ÿ             
{221}{224}|    ÿ           
{229}{232}|       ÿ        
{236}{239}|         ÿ      
{243}{246}|            ÿ   
{251}{267}|              ÿ 
{300}{303}|ÿ                      
{308}{310}|  ÿ                    
{315}{318}|     ÿ                 
{322}{326}|        ÿ              
{330}{334}|          ÿ            
{338}{341}|             ÿ         
{346}{359}|                ÿ      
{364}{367}|                   ÿ   
{372}{382}|                     ÿ 
{396}{403}|ÿ              
{403}{406}|  ÿ            
{411}{414}|     ÿ         
{419}{422}|       ÿ       
{426}{434}|         ÿ     
{439}{442}|           ÿ   
{442}{452}|             ÿ 
{467}{470}|ÿ                 
{475}{478}|  ÿ               
{482}{485}|     ÿ            
{489}{505}|       ÿ          
{514}{521}|          ÿ       
{521}{530}|            ÿ     
{535}{537}|              ÿ   
{537}{559}|                ÿ 
{586}{605}|ÿ               
{609}{621}|  ÿ             
{626}{629}|     ÿ          
{633}{640}|        ÿ       
{640}{648}|          ÿ     
{653}{656}|            ÿ   
{656}{668}|              ÿ 
{682}{689}|ÿ                    
{689}{692}|  ÿ                  
{698}{700}|     ÿ               
{706}{709}|        ÿ            
{713}{716}|          ÿ          
{721}{724}|             ÿ       
{729}{738}|               ÿ     
{745}{749}|                  ÿ  
{753}{762}|                   ÿ 
{778}{781}|ÿ                         
{785}{788}|  ÿ                       
{792}{795}|     ÿ                    
