{397}{651}kotae ga mitsukaranai
{651}{781}modokashisa de itsu kara ka
{781}{911}karamawari shite ita
{911}{1120}chigau dare ka no tokoro ni yuku kimi wo
{1120}{1246}semerareru hazu mo nai
{1246}{1480}nanto naku kizuiteita kimi no mayoi
{1480}{1832}yume de aru youni hitomi wo tojite ano hi wo omou
{1832}{2027}kaze ni dakarete waratteita futari
{2027}{2325}itsuka egaiteta ashita e mou ichido aruki dasou
{2325}{2659}tatoe subete wo ushinatte mo nanika ga umareru to shinjite
{2597}{2759}{S:26} ||{c:$00FFFF}I'M FEELING LOVE
{2659}{3116}kitto futari no deai mo tooi hi no kiseki datta kara
{2643}{2651}{S:26} |||ÿ               
{2651}{2663}{S:26} |||    ÿ           
{2663}{2679}{S:26} |||       ÿ        
{2679}{2699}{S:26} |||            ÿ   
{537}{553}|ÿ                    
{553}{561}|  ÿ                  
{571}{577}|    ÿ                
{577}{583}|      ÿ              
{599}{609}|         ÿ           
{609}{617}|           ÿ         
{617}{625}|              ÿ      
{633}{641}|                ÿ    
{641}{645}|                  ÿ  
{645}{649}|                    ÿ
{665}{673}|ÿ                          
{683}{691}|  ÿ                        
{691}{697}|    ÿ                      
{697}{705}|      ÿ                    
{705}{713}|         ÿ                 
{713}{723}|            ÿ              
{733}{737}|               ÿ           
{737}{747}|                ÿ          
{747}{763}|                    ÿ      
{763}{771}|                      ÿ    
{771}{779}|                         ÿ 
{795}{803}|ÿ                   
{803}{811}|  ÿ                 
{811}{821}|    ÿ               
{831}{837}|      ÿ             
{837}{845}|        ÿ           
{861}{871}|           ÿ        
{879}{897}|              ÿ     
{897}{903}|                 ÿ  
{903}{909}|                  ÿ 
{927}{935}|ÿ                                       
{935}{943}|   ÿ                                    
{943}{951}|     ÿ                                  
{951}{959}|       ÿ                                
{959}{967}|         ÿ                              
{967}{975}|            ÿ                           
{975}{985}|               ÿ                        
{995}{1008}|                  ÿ                     
{1008}{1024}|                    ÿ                   
{1024}{1032}|                      ÿ                 
{1040}{1052}|                         ÿ              
{1066}{1078}|                            ÿ           
{1078}{1084}|                              ÿ         
{1084}{1090}|                                 ÿ      
{1090}{1096}|                                   ÿ    
{1096}{1118}|                                      ÿ 
{1156}{1164}|ÿ                     
{1164}{1172}|  ÿ                   
{1172}{1178}|    ÿ                 
{1178}{1186}|      ÿ               
{1186}{1194}|        ÿ             
{1194}{1202}|           ÿ          
{1202}{1212}|             ÿ        
{1212}{1220}|                ÿ     
{1220}{1230}|                   ÿ  
{1230}{1246}|                     ÿ
{1264}{1272}|ÿ                                  
{1272}{1282}|  ÿ                                
{1282}{1294}|   ÿ                               
{1294}{1302}|      ÿ                            
{1302}{1314}|        ÿ                          
{1314}{1328}|           ÿ                       
{1328}{1334}|             ÿ                     
{1334}{1346}|               ÿ                   
{1346}{1358}|                ÿ                  
{1358}{1366}|                  ÿ                
{1366}{1380}|                   ÿ               
{1380}{1392}|                      ÿ            
{1392}{1402}|                        ÿ          
{1402}{1414}|                           ÿ       
{1414}{1424}|                              ÿ    
{1424}{1432}|                                ÿ  
{1432}{1478}|                                  ÿ
{1514}{1530}|ÿ                                                
{1530}{1546}|  ÿ                                              
{1546}{1556}|     ÿ                                           
{1556}{1562}|        ÿ                                        
{1562}{1586}|         ÿ                                       
{1586}{1592}|            ÿ                                    
{1592}{1596}|              ÿ                                  
{1596}{1612}|               ÿ                                 
{1620}{1628}|                  ÿ                              
{1628}{1652}|                    ÿ                            
{1652}{1660}|                      ÿ                          
{1660}{1676}|                         ÿ                       
{1690}{1718}|                            ÿ                    
{1718}{1726}|                              ÿ                  
{1726}{1742}|                                ÿ                
{1752}{1762}|                                   ÿ             
{1762}{1770}|                                    ÿ            
{1778}{1788}|                                       ÿ         
{1788}{1802}|                                          ÿ      
{1802}{1808}|                                             ÿ   
{1808}{1816}|                                              ÿ  
{1816}{1830}|                                                ÿ
{1842}{1858}|ÿ                                 
{1858}{1872}|  ÿ                               
{1872}{1882}|     ÿ                            
{1882}{1900}|        ÿ                         
{1900}{1908}|          ÿ                       
{1908}{1914}|            ÿ                     
{1914}{1928}|              ÿ                   
{1946}{1952}|                 ÿ                
{1952}{1958}|                   ÿ              
{1958}{1966}|                     ÿ            
{1966}{1976}|                      ÿ           
{1976}{1982}|                        ÿ         
{1982}{1999}|                         ÿ        
{1999}{2005}|                            ÿ     
{2005}{2013}|                              ÿ   
{2013}{2025}|                                ÿ 
{2035}{2051}|ÿ                                              
{2051}{2067}| ÿ                                             
{2067}{2079}|    ÿ                                          
{2079}{2087}|       ÿ                                       
{2087}{2109}|        ÿ                                      
{2109}{2115}|          ÿ                                    
