{463}{710}kizuiteta ano hi kara
{710}{899}anata ga chikazuite kita wake
{899}{1085}hagotae no yawarakai
{1085}{1297}kono mi ga anata no okonomi to
{1297}{1510}mueni kaeteru hitomi ni
{1510}{1690}kono mi wa dou utsuru
{1690}{1881}shokusu nara hito omoi ni
{1881}{2126}oniku ga kataku naranu youni
{533}{542}|ÿ                    
{547}{572}|  ÿ                  
{580}{584}|    ÿ                
{588}{595}|     ÿ               
{595}{613}|       ÿ             
{626}{636}|          ÿ          
{640}{660}|           ÿ         
{673}{676}|              ÿ      
{680}{688}|                 ÿ   
{688}{709}|                   ÿ 
{719}{728}|ÿ                            
{734}{753}| ÿ                           
{767}{773}|   ÿ                         
{773}{781}|      ÿ                      
{781}{784}|         ÿ                   
{788}{796}|            ÿ                
{796}{800}|              ÿ              
{806}{808}|                ÿ            
{813}{821}|                 ÿ           
{821}{825}|                    ÿ        
{829}{851}|                      ÿ      
{859}{868}|                         ÿ   
{875}{898}|                           ÿ 
{907}{915}  |ÿ                   
{921}{950}  |  ÿ                 
{954}{961}  |    ÿ               
{961}{966}  |      ÿ             
{970}{994}  |        ÿ           
{1003}{1012}|           ÿ        
{1016}{1042}|             ÿ      
{1046}{1054}|               ÿ    
{1054}{1062}|                 ÿ  
{1062}{1084}|                   ÿ
{1096}{1103}|ÿ                             
{1109}{1133}|  ÿ                           
{1141}{1148}|     ÿ                        
{1148}{1156}|        ÿ                     
{1156}{1163}|           ÿ                  
{1163}{1171}|            ÿ                 
{1171}{1175}|              ÿ               
{1180}{1183}|                 ÿ            
{1187}{1191}|                    ÿ         
{1196}{1200}|                     ÿ        
{1205}{1224}|                       ÿ      
{1235}{1244}|                         ÿ    
{1251}{1296}|                            ÿ 
{1329}{1336}|ÿ                      
{1342}{1367}|  ÿ                    
{1377}{1384}|   ÿ                   
{1390}{1399}|      ÿ                
{1407}{1412}|        ÿ              
{1422}{1432}|         ÿ             
{1437}{1456}|           ÿ           
{1460}{1468}|              ÿ        
{1468}{1476}|                ÿ      
{1476}{1484}|                  ÿ    
{1484}{1509}|                     ÿ 
{1518}{1525}|ÿ                    
{1533}{1550}|  ÿ                  
{1555}{1562}|     ÿ               
{1562}{1571}|        ÿ            
{1576}{1586}|           ÿ         
{1594}{1601}|             ÿ       
{1609}{1620}|              ÿ      
{1624}{1666}|                ÿ    
{1671}{1689}|                   ÿ 
{1705}{1714}|ÿ                        
{1719}{1743}|   ÿ                     
{1751}{1755}|     ÿ                   
{1761}{1767}|        ÿ                
{1767}{1788}|          ÿ              
{1797}{1811}|             ÿ           
{1811}{1833}|               ÿ         
{1837}{1844}|                  ÿ      
{1844}{1851}|                   ÿ     
{1851}{1858}|                     ÿ   
{1858}{1880}|                       ÿ 
{1891}{1902}|ÿ                           
{1906}{1929}| ÿ                          
{1938}{1945}|   ÿ                        
{1945}{1952}|      ÿ                     
{1952}{1959}|         ÿ                  
{1959}{1967}|           ÿ                
{1967}{1972}|             ÿ              
{1985}{1993}|                ÿ           
{2000}{2009}|                  ÿ         
{2017}{2025}|                    ÿ       
{2033}{2038}|                       ÿ    
{2038}{2046}|                         ÿ  
{2046}{2096}|                          ÿ 
