{5}{107}tsuite yuku wa
{107}{402}anata ga yume wo tsukameru sekai nara
{402}{473}kowakunai wa
{473}{753}konoyo ga tatoe yami ni tozasaretemo
{763}{962}mune ni fukuoi kaze wa tabidatsu yo
{962}{1162}umaretate no jidai he
{1162}{1301}FOLLOW YOU, MY LOVE kanjitai no
{1301}{1503}ima sono kokoro wo kogasu tokimeki
{1503}{1645}FOLLOW YOU, nee mitsumetai no
{1645}{1946}mabushi sugiru hitomi no naka no mirai wo
{75}{81}|ÿ             
{81}{87}|   ÿ          
{87}{92}|    ÿ         
{92}{98}|       ÿ      
{98}{103}|         ÿ    
{103}{106}|            ÿ 
{146}{149}|ÿ                                    
{163}{166}| ÿ                                   
{176}{180}|   ÿ                                 
{188}{191}|      ÿ                              
{233}{238}|         ÿ                           
{250}{253}|           ÿ                         
{261}{265}|              ÿ                      
{265}{272}|                 ÿ                   
{272}{278}|                    ÿ                
{278}{284}|                      ÿ              
{284}{291}|                        ÿ            
{331}{336}|                           ÿ         
{341}{347}|                             ÿ       
{351}{356}|                               ÿ     
{361}{366}|                                 ÿ   
{370}{401}|                                   ÿ 
{423}{428}|ÿ           
{428}{435}|  ÿ         
{435}{440}|    ÿ       
{440}{446}|      ÿ     
{446}{453}|        ÿ   
{453}{472}|          ÿ 
{494}{504}|ÿ                                   
{512}{522}|  ÿ                                 
{526}{533}|    ÿ                               
{537}{554}|       ÿ                            
{567}{575}|          ÿ                         
{580}{587}|            ÿ                       
{591}{598}|              ÿ                     
{598}{604}|                ÿ                   
{612}{620}|                  ÿ                 
{620}{638}|                     ÿ              
{655}{660}|                        ÿ           
{667}{673}|                          ÿ         
{678}{685}|                            ÿ       
{689}{695}|                              ÿ     
{700}{705}|                                ÿ   
{709}{738}|                                  ÿ 
{798}{804}|ÿ                                  
{804}{810}|  ÿ                                
{810}{816}|     ÿ                             
{816}{820}|        ÿ                          
{828}{835}|          ÿ                        
{835}{842}|            ÿ                      
{842}{846}|             ÿ                     
{851}{857}|               ÿ                   
{857}{860}|                 ÿ                 
{864}{868}|                    ÿ              
{884}{888}|                       ÿ           
{895}{901}|                         ÿ         
{901}{905}|                           ÿ       
{911}{916}|                             ÿ     
{922}{961}|                                 ÿ 
{983}{989}|ÿ                    
{994}{999}| ÿ                   
{1003}{1009}|   ÿ                 
{1015}{1020}|     ÿ               
{1025}{1033}|       ÿ             
{1033}{1054}|          ÿ          
{1058}{1073}|             ÿ       
{1080}{1087}|               ÿ     
{1092}{1099}|                 ÿ   
{1099}{1161}|                   ÿ 
{1174}{1179}|ÿ                              
{1179}{1186}|   ÿ                           
{1186}{1213}|       ÿ                       
{1220}{1227}|            ÿ                  
{1232}{1243}|               ÿ               
{1249}{1254}|                    ÿ          
{1254}{1261}|                      ÿ        
{1261}{1267}|                       ÿ       
{1267}{1272}|                         ÿ     
{1272}{1277}|                           ÿ   
{1277}{1300}|                             ÿ 
{1308}{1313}|ÿ                                 
{1319}{1327}|  ÿ                               
{1335}{1340}|    ÿ                             
{1340}{1346}|      ÿ                           
{1346}{1351}|         ÿ                        
{1351}{1356}|           ÿ                      
{1356}{1359}|             ÿ                    
{1363}{1406}|                ÿ                 
{1428}{1435}|                   ÿ              
{1435}{1440}|                     ÿ            
{1440}{1447}|                       ÿ          
{1447}{1453}|                          ÿ       
{1453}{1462}|                            ÿ     
{1462}{1468}|                              ÿ   
{1468}{1502}|                                ÿ 
{1520}{1525}|ÿ                            
{1525}{1531}|   ÿ                         
{1531}{1562}|       ÿ                     
{1567}{1574}|            ÿ                
{1579}{1589}|              ÿ              
{1596}{1602}|                ÿ            
{1602}{1608}|                  ÿ          
{1608}{1613}|                     ÿ       
{1613}{1617}|                       ÿ     
{1621}{1626}|                         ÿ   
{1626}{1644}|                           ÿ 
{1653}{1659}|ÿ                                       
{1665}{1669}|  ÿ                                     
{1675}{1680}|    ÿ                                   
{1686}{1691}|        ÿ                               
{1697}{1702}|          ÿ                             
{1708}{1743}|            ÿ                           
{1748}{1754}|               ÿ                        
{1754}{1757}|                 ÿ                      
{1763}{1766}|                   ÿ                    
{1772}{1776}|                      ÿ                 
{1784}{1789}|                         ÿ              
{1795}{1811}|                           ÿ            
{1816}{1832}|                              ÿ         
{1838}{1855}|                                 ÿ      
{1861}{1866}|                                   ÿ    
{1872}{1877}|                                     ÿ  
{1882}{1916}|                                       ÿ
