{0}{75}suki sa
{87}{196}shibireru hodo
{196}{273}suki sa
{282}{392}kuyashii hodo
{406}{521}osoreru mono wa
{521}{600}nani mo nai
{600}{663}suki sa
{667}{786}wasurerarenai
{786}{907}kiri ga nai, amai kuchizuke o
{907}{985}kaze ga muri ni hodoku
{985}{1103}tomaranai atsui tokimeki ni
{1103}{1183}namida o misenaide
{1183}{1299}nikumenai tsumetai shigusa wa
{1299}{1376}aenai to tsurakute
{1376}{1494}yarusenai anata no sono koe
{1494}{1576}kokoro ga kowaresou
{1576}{1660}suki sa...
{1752}{1857}suki sa...
{841}{850}||{c:$A7FFFF}nai
{1036}{1045}||{c:$A7FFFF}nai
{1232}{1241}||{c:$A7FFFF}nai
{1427}{1436}||{c:$A7FFFF}nai
{1612}{1660}||{c:$A7FFA7}suki sa...
{1807}{1857}||{c:$A7FFA7}suki sa...
{1618}{1623}|||ÿ         
{1623}{1628}|||  ÿ       
{1628}{1641}|||     ÿ    
{1813}{1817}|||ÿ         
{1817}{1823}|||  ÿ       
{1823}{1838}|||     ÿ    
{33}{40}|ÿ      
{40}{45}|  ÿ    
{45}{60}|     ÿ 
{122}{130}|ÿ             
{130}{136}|   ÿ          
{136}{140}|     ÿ        
{140}{143}|       ÿ      
{147}{160}|          ÿ   
{165}{178}|            ÿ 
{226}{232}|ÿ      
{232}{238}|  ÿ    
{238}{258}|     ÿ 
{317}{325}|ÿ            
{325}{330}|  ÿ          
{330}{335}|    ÿ        
{335}{343}|       ÿ     
{349}{358}|         ÿ   
{362}{377}|           ÿ 
{441}{453}|ÿ              
{453}{459}| ÿ             
{459}{470}|   ÿ           
{470}{478}|     ÿ         
{489}{501}|        ÿ      
{501}{507}|          ÿ    
{507}{520}|             ÿ 
{538}{550}|ÿ          
{550}{553}|  ÿ        
{557}{568}|     ÿ     
{572}{577}|        ÿ  
{581}{599}|          ÿ
{617}{623}|ÿ      
{623}{628}|  ÿ    
{628}{648}|     ÿ 
{702}{709}|ÿ            
{709}{719}|  ÿ          
{719}{725}|    ÿ        
{728}{732}|      ÿ      
{732}{735}|        ÿ    
{735}{748}|          ÿ  
{751}{785}|            ÿ
{812}{818}|ÿ                            
{818}{823}|  ÿ                          
{823}{829}|     ÿ                       
{829}{834}|        ÿ                    
{834}{841}|          ÿ                  
{855}{861}|             ÿ               
{861}{864}|              ÿ              
{867}{873}|                ÿ            
{873}{879}|                  ÿ          
{879}{886}|                    ÿ        
{886}{892}|                       ÿ     
{892}{896}|                         ÿ   
{896}{906}|                            ÿ
{917}{923}|ÿ                     
{923}{928}|  ÿ                   
{928}{934}|     ÿ                
{934}{941}|        ÿ             
{941}{947}|          ÿ           
{947}{953}|             ÿ        
{953}{958}|                ÿ     
{958}{965}|                  ÿ   
{969}{984}|                    ÿ 
{1007}{1013}|ÿ                          
{1013}{1019}|  ÿ                        
{1019}{1024}|    ÿ                      
{1024}{1029}|      ÿ                    
{1029}{1036}|        ÿ                  
{1050}{1056}|          ÿ                
{1056}{1062}|           ÿ               
{1062}{1065}|              ÿ            
{1068}{1074}|                ÿ          
{1074}{1081}|                  ÿ        
{1081}{1086}|                    ÿ      
{1086}{1092}|                      ÿ    
{1092}{1102}|                         ÿ 
{1110}{1117}|ÿ                 
{1117}{1123}|  ÿ               
{1123}{1129}|    ÿ             
{1129}{1135}|       ÿ          
{1135}{1141}|         ÿ        
{1141}{1146}|           ÿ      
{1146}{1153}|             ÿ    
{1153}{1161}|               ÿ  
{1164}{1182}|                ÿ 
{1203}{1208}|ÿ                            
{1208}{1214}|  ÿ                          
{1214}{1219}|    ÿ                        
{1219}{1224}|      ÿ                      
{1224}{1230}|        ÿ                    
{1245}{1251}|          ÿ                  
{1251}{1257}|             ÿ               
{1257}{1263}|               ÿ             
{1263}{1266}|                 ÿ           
{1269}{1275}|                   ÿ         
{1275}{1280}|                      ÿ      
{1280}{1286}|                        ÿ    
{1286}{1298}|                           ÿ 
{1306}{1312}|ÿ                 
{1312}{1318}| ÿ                
{1318}{1323}|  ÿ               
{1323}{1330}|    ÿ             
{1330}{1336}|      ÿ           
{1336}{1339}|         ÿ        
{1342}{1348}|            ÿ     
{1348}{1360}|              ÿ   
{1360}{1375}|                ÿ 
{1398}{1404}|ÿ                          
{1404}{1409}|  ÿ                        
{1409}{1415}|    ÿ                      
{1415}{1420}|      ÿ                    
{1420}{1427}|        ÿ                  
{1440}{1447}|          ÿ                
{1447}{1452}|           ÿ               
{1452}{1455}|             ÿ             
{1458}{1461}|                ÿ          
{1465}{1470}|                   ÿ       
{1470}{1473}|                     ÿ     
{1476}{1478}|                        ÿ  
{1481}{1493}|                          ÿ
{1501}{1507}|ÿ                  
{1507}{1513}|  ÿ                
{1513}{1518}|    ÿ              
{1518}{1524}|       ÿ           
{1524}{1529}|          ÿ        
{1529}{1535}|            ÿ      
{1535}{1544}|              ÿ    
{1544}{1550}|                ÿ  
{1555}{1575}|                  ÿ
{1592}{1598}|ÿ         
{1598}{1603}|  ÿ       
{1603}{1641}|     ÿ    
{1787}{1793}|ÿ         
{1793}{1799}|  ÿ       
{1799}{1838}|     ÿ    
