{0}{190}Gohoushi gohoushi arittakeno magokorono 
{191}{410}Gohoushi gohoushi erabi nukareta specialists 
{410}{539}Hanaukyo MAID tai 
{539}{679}Iro tori dori no sono nikakonara 
{679}{879}Atakamo koko wa tenkuu no rakuen 
{879}{1027}Hana no you ni kagayaki mashyou 
{1027}{1128}Hareta hini mo ame na hini mo 
{1128}{1299}Nannari to watashi ni omou  shitsuke kudasai  
{1300}{1380}Umi ni makenai hiroi kokoro 
{1380}{1484}Kyou mo tenki ni harikitte.. 
{1484}{1661}Uki uki itsudemo mune  wo hazumasemashyou 
{1661}{1855}Gohoushi gohoushi arittakeno magokorono 
{1855}{2065}Gohoushi gohoushi erabi nukareta specialists 
{2065}{2243}Hanaukyo MAID tai
{9}{27}|ÿ                                       
{27}{53}|  ÿ                                     
{53}{65}|     ÿ                                  
{69}{76}|         ÿ                              
{76}{92}|           ÿ                            
{92}{97}|              ÿ                         
{102}{126}|                  ÿ                     
{130}{133}|                     ÿ                  
{137}{144}|                        ÿ               
{144}{149}|                          ÿ             
{155}{163}|                             ÿ          
{163}{171}|                               ÿ        
{171}{176}|                                 ÿ      
{181}{186}|                                   ÿ    
{186}{190}|                                     ÿ  
{226}{253}|ÿ                                            
{253}{258}|  ÿ                                          
{258}{283}|     ÿ                                       
{283}{289}|         ÿ                                   
{289}{302}|           ÿ                                 
{302}{308}|              ÿ                              
{313}{346}|                  ÿ                          
{346}{353}|                     ÿ                       
{353}{358}|                        ÿ                    
{358}{364}|                          ÿ                  
{364}{369}|                            ÿ                
{369}{374}|                              ÿ              
{374}{387}|                                 ÿ           
{387}{409}|                                          ÿ  
{416}{434}|ÿ                 
{434}{453}|     ÿ            
{453}{472}|         ÿ        
{472}{476}|              ÿ   
{476}{538}|                ÿ 
{565}{571}|ÿ                                
{571}{576}| ÿ                               
{576}{584}|    ÿ                            
{584}{591}|      ÿ                          
{595}{605}|         ÿ                       
{605}{611}|           ÿ                     
{611}{618}|              ÿ                  
{618}{625}|                 ÿ               
{625}{633}|                   ÿ             
{633}{641}|                      ÿ          
{641}{646}|                        ÿ        
{646}{660}|                          ÿ      
{664}{669}|                            ÿ    
{669}{678}|                              ÿ  
{691}{717}|ÿ                                
{717}{724}|   ÿ                             
{733}{737}|        ÿ                        
{741}{743}|          ÿ                      
{748}{751}|             ÿ                   
{760}{764}|                ÿ                
{769}{790}|                  ÿ              
{790}{799}|                   ÿ             
{799}{822}|                     ÿ           
{826}{833}|                       ÿ         
{833}{836}|                          ÿ      
{840}{847}|                            ÿ    
{851}{878}|                               ÿ 
{887}{894}|ÿ                               
{894}{900}|  ÿ                             
{900}{907}|     ÿ                          
{907}{926}|        ÿ                       
{926}{933}|            ÿ                   
{933}{939}|               ÿ                
{939}{945}|                 ÿ              
{945}{951}|                   ÿ            
{951}{958}|                     ÿ          
{958}{964}|                        ÿ       
{964}{1026}|                          ÿ     
{1050}{1057}|ÿ                             
{1057}{1063}|  ÿ                           
{1063}{1068}|    ÿ                         
{1068}{1073}|       ÿ                      
{1073}{1076}|         ÿ                    
{1080}{1083}|            ÿ                 
{1093}{1100}|               ÿ              
{1100}{1107}|                ÿ             
{1107}{1114}|                   ÿ          
{1114}{1120}|                      ÿ       
{1120}{1124}|                        ÿ     
{1124}{1127}|                           ÿ  
{1147}{1154}|ÿ                                             
{1158}{1170}|   ÿ                                          
{1170}{1175}|     ÿ                                        
{1175}{1188}|        ÿ                                     
{1188}{1194}|           ÿ                                  
{1194}{1199}|             ÿ                                
{1199}{1204}|               ÿ                              
{1204}{1225}|                   ÿ                          
{1225}{1230}|                      ÿ                       
{1230}{1257}|                       ÿ                      
{1257}{1263}|                            ÿ                 
{1263}{1268}|                                ÿ             
{1268}{1274}|                                  ÿ           
{1274}{1277}|                                     ÿ        
{1284}{1289}|                                       ÿ      
{1289}{1294}|                                         ÿ    
{1294}{1300}|                                           ÿ  
{1300}{1310}|ÿ                           
{1310}{1315}|    ÿ                       
{1315}{1322}|       ÿ                    
{1322}{1327}|         ÿ                  
{1327}{1332}|           ÿ                
{1332}{1346}|             ÿ              
{1346}{1352}|               ÿ            
{1352}{1357}|                 ÿ          
{1357}{1364}|                   ÿ        
{1364}{1370}|                     ÿ      
{1370}{1375}|                       ÿ    
{1375}{1379}|                         ÿ  
{1390}{1396}|ÿ                            
{1396}{1403}|  ÿ                          
{1403}{1417}|     ÿ                       
{1417}{1423}|        ÿ                    
{1423}{1429}|          ÿ                  
{1429}{1448}|              ÿ              
{1448}{1458}|                 ÿ           
{1458}{1483}|                     ÿ       
{1496}{1501}|ÿ                                         
{1501}{1505}|    ÿ                                     
