{529}{720}Daichi ni sosogu yoake
{745}{916}tabidatsu toki o tsugeru
{927}{1114}mirai o mezashi kakete yuku kaze
{1114}{1267}kono mune ni suikonda
{1339}{1518}yume dake o kizami tsuketa hitomi
{1518}{1699}bokura ni yuku michi o ataeru
{1704}{1822}love, the never land
{1822}{2086}kagirinai yuuki o mezamesasete
{599}{602}|ÿ                     
{606}{609}|  ÿ                   
{614}{619}|   ÿ                  
{619}{623}|       ÿ              
{631}{635}|          ÿ           
{642}{647}|            ÿ         
{653}{657}|              ÿ       
{673}{677}|                 ÿ    
{683}{685}|                   ÿ  
{690}{705}|                    ÿ 
{780}{783}|ÿ                       
{788}{791}|  ÿ                     
{796}{798}|    ÿ                   
{803}{806}|      ÿ                 
{813}{818}|          ÿ             
{824}{828}|            ÿ           
{835}{841}|               ÿ        
{855}{859}|                 ÿ      
{864}{867}|                    ÿ   
{871}{901}|                      ÿ 
{962}{966}|ÿ                               
{970}{973}|  ÿ                             
{978}{981}|    ÿ                           
{985}{989}|      ÿ                         
{996}{999}|        ÿ                       
{1007}{1010}|          ÿ                     
{1017}{1023}|            ÿ                   
{1054}{1057}|                ÿ               
{1061}{1065}|                  ÿ             
{1070}{1072}|                    ÿ           
{1076}{1079}|                       ÿ        
{1087}{1090}|                         ÿ      
{1098}{1101}|                            ÿ   
{1109}{1113}|                              ÿ 
{1145}{1149}|ÿ                    
{1153}{1156}|  ÿ                  
{1162}{1167}|     ÿ               
{1167}{1170}|       ÿ             
{1178}{1181}|          ÿ          
{1189}{1192}|             ÿ       
{1200}{1203}|               ÿ     
{1220}{1228}|                ÿ    
{1237}{1252}|                   ÿ 
{1374}{1378}|ÿ                                
{1382}{1386}|  ÿ                              
{1391}{1396}|     ÿ                           
{1396}{1400}|       ÿ                         
{1405}{1407}|          ÿ                      
{1413}{1416}|            ÿ                    
{1420}{1423}|              ÿ                  
{1427}{1430}|                ÿ                
{1435}{1438}|                   ÿ             
{1442}{1445}|                      ÿ          
{1449}{1452}|                        ÿ        
{1458}{1461}|                           ÿ     
{1465}{1469}|                             ÿ   
{1486}{1517}|                               ÿ 
{1556}{1560}|ÿ                            
{1564}{1567}|  ÿ                          
{1571}{1574}|    ÿ                        
{1579}{1583}|       ÿ                     
{1587}{1590}|          ÿ                  
{1596}{1598}|            ÿ                
{1603}{1605}|               ÿ             
{1609}{1613}|                 ÿ           
{1617}{1624}|                     ÿ       
{1624}{1628}|                       ÿ     
{1632}{1635}|                         ÿ   
{1640}{1643}|                          ÿ  
{1648}{1684}|                           ÿ 
{1739}{1753}|ÿ                   
{1762}{1769}|  ÿ                 
{1773}{1779}|      ÿ             
{1784}{1795}|          ÿ         
{1795}{1801}|            ÿ       
{1807}{1821}|                ÿ   
{1831}{1836}|ÿ                            
{1841}{1845}|  ÿ                          
{1852}{1856}|    ÿ                        
{1863}{1868}|      ÿ                      
{1875}{1902}|        ÿ                    
{1920}{1926}|          ÿ                  
{1940}{1945}|             ÿ               
{1945}{1949}|                ÿ            
{1955}{1958}|                  ÿ          
{1966}{1969}|                    ÿ        
{1980}{1983}|                      ÿ      
{1997}{2000}|                        ÿ    
{2005}{2007}|                          ÿ  
{2013}{2056}|                            ÿ
