{467}{655}hana no saku sekai ni
{655}{781}inochi miru youni
{781}{917}tori ga tobu shunkan
{917}{1047}jiyuu o kanjiru
{1047}{1180}kaze ni mimi o sumaseba
{1180}{1310}toki ga arawarete
{1310}{1440}tsuki o miru kokoro ni
{1440}{1573}seijaku ga oriru
{1573}{1697}mune no oku ni wa
{1697}{1839}itai rekishi ga aru
{1839}{1959}ima mo uzuite
{1959}{2136}tokidoki kirameku
{2155}{2310}kanashimi no kawa o koete
{2310}{2439}oira wa suishou ni naru
{2439}{2568}tamashii no tendootai ni
{2568}{2730}kibou o toosu noda
{537}{541}|ÿ                    
{545}{549}|  ÿ                  
{554}{569}|     ÿ               
{576}{579}|        ÿ            
{585}{601}|          ÿ          
{607}{612}|             ÿ       
{619}{624}|               ÿ     
{628}{631}|                 ÿ   
{635}{654}|                   ÿ 
{666}{671}|ÿ                
{675}{679}| ÿ               
{684}{702}|   ÿ             
{709}{712}|       ÿ         
{716}{728}|         ÿ       
{734}{739}|            ÿ    
{743}{747}|              ÿ  
{752}{780}|               ÿ 
{798}{806}|ÿ                   
{806}{812}|  ÿ                 
{816}{831}|     ÿ              
{841}{844}|        ÿ           
{850}{865}|          ÿ         
{872}{876}|             ÿ      
{881}{890}|                ÿ   
{890}{899}|                 ÿ  
{899}{916}|                   ÿ
{928}{933}|ÿ              
{937}{942}|  ÿ            
{947}{965}|    ÿ          
{970}{980}|      ÿ        
{980}{997}|        ÿ      
{997}{1003}|          ÿ    
{1007}{1014}|           ÿ   
{1014}{1046}|             ÿ 
{1059}{1063}|ÿ                      
{1068}{1072}|  ÿ                    
{1077}{1093}|     ÿ                 
{1101}{1109}|        ÿ              
{1109}{1115}|          ÿ            
{1119}{1130}|             ÿ         
{1135}{1139}|               ÿ       
{1144}{1148}|                 ÿ     
{1152}{1159}|                   ÿ   
{1159}{1179}|                     ÿ 
{1191}{1200}|ÿ                
{1200}{1208}|  ÿ              
{1208}{1227}|     ÿ           
{1233}{1237}|        ÿ        
{1243}{1252}|         ÿ       
{1258}{1263}|           ÿ     
{1268}{1272}|             ÿ   
{1276}{1309}|               ÿ 
{1322}{1326}|ÿ                     
{1330}{1335}|   ÿ                  
{1340}{1355}|      ÿ               
{1363}{1367}|        ÿ             
{1372}{1384}|          ÿ           
{1393}{1397}|             ÿ        
{1402}{1407}|               ÿ      
{1411}{1416}|                 ÿ    
{1421}{1439}|                    ÿ 
{1453}{1458}|ÿ               
{1462}{1466}|  ÿ             
{1471}{1488}|   ÿ            
{1494}{1499}|     ÿ          
{1504}{1514}|        ÿ       
{1522}{1529}|           ÿ    
{1529}{1537}|            ÿ   
{1537}{1572}|              ÿ 
{1585}{1589}|ÿ                
{1594}{1598}|  ÿ              
{1603}{1636}|     ÿ           
{1643}{1650}|        ÿ        
{1650}{1655}|         ÿ       
{1659}{1662}|            ÿ    
{1666}{1696}|               ÿ 
{1716}{1720}|ÿ                  
{1724}{1728}| ÿ                 
{1732}{1746}|   ÿ               
{1755}{1760}|     ÿ             
{1766}{1773}|       ÿ           
{1773}{1780}|         ÿ         
{1780}{1785}|             ÿ     
{1789}{1793}|                ÿ  
{1798}{1838}|                 ÿ 
{1847}{1854}|ÿ            
{1854}{1859}| ÿ           
{1863}{1886}|    ÿ        
{1902}{1907}|       ÿ     
{1911}{1916}|        ÿ    
{1920}{1924}|          ÿ  
{1928}{1958}|           ÿ 
{1974}{1982}|ÿ                
{1991}{2012}|  ÿ              
{2018}{2023}|    ÿ            
{2028}{2035}|      ÿ          
{2035}{2041}|         ÿ       
{2041}{2048}|           ÿ     
{2052}{2055}|             ÿ   
{2059}{2121}|               ÿ 
{2190}{2194}|ÿ                        
{2198}{2203}|  ÿ                      
{2208}{2210}|    ÿ                    
{2215}{2219}|       ÿ                 
{2223}{2234}|          ÿ              
{2240}{2244}|             ÿ           
{2249}{2253}|               ÿ         
{2257}{2269}|                  ÿ      
{2274}{2278}|                    ÿ    
{2282}{2289}|                      ÿ  
{2289}{2309}|                       ÿ 
{2321}{2326}|ÿ                      
{2330}{2334}| ÿ                     
{2338}{2346}|  ÿ                    
{2346}{2351}|     ÿ                 
{2356}{2359}|        ÿ              
{2363}{2368}|          ÿ            
{2372}{2379}|           ÿ           
{2379}{2383}|              ÿ        
{2387}{2405}|                ÿ      
{2410}{2415}|                   ÿ   
{2419}{2438}|                     ÿ 
{2451}{2456}|ÿ                       
{2460}{2465}|  ÿ                     
{2469}{2476}|    ÿ                   
{2476}{2485}|       ÿ                
{2485}{2497}|         ÿ              
{2502}{2513}|            ÿ           
{2518}{2530}|               ÿ        
{2535}{2538}|                  ÿ     
{2543}{2550}|                    ÿ   
{2550}{2567}|                      ÿ 
{2583}{2587}|ÿ                 
{2591}{2596}|  ÿ               
{2600}{2605}|    ÿ             
{2605}{2611}|      ÿ           
{2618}{2624}|        ÿ         
{2624}{2629}|          ÿ       
{2633}{2636}|           ÿ      
{2640}{2644}|              ÿ   
{2648}{2699}|                ÿ 
