{0}{80}sou hito ga yosasou na
{80}{146}kao de yatte kuru
{146}{215}totsuzen no higeki mo
{215}{283}utagau koto wa naku
{283}{351}nageku koto sezu
{351}{419}damatta mama de 
{419}{508}ue o miagerun da
{508}{654}donna arifureta SCENE mo enji tsuzukero
{654}{787}yume to ka kibou to ka iu mae ni sa
{787}{865}kitto dare ni totte mo
{865}{923}onaji koto daro
{923}{1048}YOU MUST FIGHT AGAINST YOURSELF
{1170}{1291}THE SUN SETS AND A NEW DAY COMES
{1291}{1351}REPEATING IS ONE CHANGE
{1351}{1428}DON'T AVERT EYES FROM DIFFERENCES
{1428}{1546}YOUR NERVE AND SOUL TO THE LIMIT
{1546}{1608}GO FORWARD NOW
{1608}{1736}haritsumeta PRESSURE tonari awase de
{1736}{1874}dare yori daitan futeki ni warau
{1874}{2009}kitto dare ni totte mo onaji koto daro
{2009}{2175}YOU MUST FIGHT AGAINST YOURSELF
{5}{8}|ÿ                     
{8}{15}|  ÿ                   
{27}{31}|    ÿ                 
{31}{36}|      ÿ               
{36}{39}|         ÿ            
{44}{48}|            ÿ         
{48}{51}|              ÿ       
{57}{62}|                ÿ     
{62}{69}|                  ÿ   
{69}{79}|                    ÿ 
{95}{99}|ÿ                
{99}{104}|  ÿ              
{104}{110}|    ÿ            
{110}{114}|       ÿ         
{114}{117}|         ÿ       
{122}{125}|          ÿ      
{129}{134}|             ÿ   
{134}{145}|               ÿ 
{160}{164}|ÿ                    
{164}{169}|  ÿ                  
{169}{174}|     ÿ               
{174}{179}|       ÿ             
{179}{184}|         ÿ           
{184}{189}|            ÿ        
{189}{194}|              ÿ      
{194}{197}|                ÿ    
{202}{214}|                   ÿ 
{231}{235}|ÿ                  
{235}{240}| ÿ                 
{240}{245}|   ÿ               
{245}{250}|     ÿ             
{250}{255}|       ÿ           
{255}{260}|         ÿ         
{260}{265}|            ÿ      
{265}{271}|               ÿ   
{271}{282}|                 ÿ 
{299}{304}|ÿ               
{304}{308}|  ÿ             
{308}{314}|    ÿ           
{314}{320}|       ÿ        
{320}{323}|         ÿ      
{328}{335}|            ÿ   
{335}{350}|              ÿ 
{367}{371}|ÿ               
{371}{376}|  ÿ             
{376}{381}|    ÿ           
{381}{384}|     ÿ          
{388}{391}|        ÿ       
{395}{402}|          ÿ     
{402}{418}|             ÿ  
