{1119}{1324}hitori aruki no MY REVOLUTION
{1324}{1505}ikutsu mono deai ni mitsuketa
{1505}{1714}yasashisa setsuna sa
{1775}{1954}kokoro ni hiraku CANVAS wa
{1954}{2136}kizutsuitari yogoretari demo
{2136}{2323}egakare dasareta
{2323}{2424}awai kanjou
{2424}{2630}anata no koe anata no kami moshimo
{2630}{2963}sennen tatte atte mo mada oboeteru
{2963}{3051}hoshi no kazu hodo
{3051}{3258}ano hi no koto ashita no koto motto
{3258}{3422}omoide kudasai watashi wa
{3422}{3601}anata wo kesenakute
{3601}{3785}FOREVER FULL OF MY LOVE
{3966}{4139}tatakai tsuzuketa GENERATION
{4139}{4320}egao no oku ni namida iro no
{4320}{4524}tsuyosa wo himeteru
{4524}{4617}nanika wo motome
{4617}{4823}anata no me mo anata no yubisaki mo
{4823}{5145}umare kawatte sore demo mada sagaseru wa
{5145}{5240}hoshi no kazu hodo
{5240}{5452}ai ga atte yume ga atte dakedo
{5452}{5608}kawaranu omoi wo kasanete
{5608}{5785}anata to ikitai no
{5785}{5979}FOREVER FULL OF MY LOVE
{6008}{6331}kami wo hodo ite miageru ORION
{6331}{6575}anata ga tooku kanjiru
{6575}{6645}uchi kesu you ni
{6645}{6858}anata no koe anata no kami moshimo
{6858}{7172}sennen tatte atte mo mada oboeteru
{7172}{7269}hoshi no kazu hodo
{7269}{7480}ano hi no koto ashita no koto motto
{7480}{7646}omoide kudasai watashi wa
{7646}{7823}anata wo kesenakute
{7823}{8057}FOREVER FULL OF MY LOVE
{1189}{1193}|ÿ                            
{1197}{1203}|  ÿ                          
{1203}{1207}|    ÿ                        
{1211}{1218}|       ÿ                     
{1224}{1229}|        ÿ                    
{1233}{1238}|          ÿ                  
{1242}{1247}|             ÿ               
{1251}{1268}|                ÿ            
{1272}{1278}|                   ÿ         
{1283}{1291}|                     ÿ       
{1291}{1295}|                       ÿ     
{1302}{1323}|                         ÿ   
{1342}{1350}|ÿ                            
{1350}{1359}| ÿ                           
{1359}{1365}|   ÿ                         
{1369}{1375}|       ÿ                     
{1380}{1387}|         ÿ                   
{1393}{1397}|            ÿ                
{1401}{1421}|              ÿ              
{1421}{1425}|               ÿ             
{1430}{1434}|                 ÿ           
{1439}{1444}|                    ÿ        
{1448}{1457}|                      ÿ      
{1463}{1474}|                         ÿ   
{1479}{1504}|                           ÿ 
{1525}{1533}|ÿ                   
{1539}{1547}|  ÿ                 
{1553}{1559}|    ÿ               
{1564}{1589}|       ÿ            
{1604}{1613}|          ÿ         
{1618}{1627}|            ÿ       
{1632}{1638}|               ÿ    
{1642}{1699}|                  ÿ 
{1810}{1818}|ÿ                         
{1818}{1826}|  ÿ                       
{1826}{1831}|    ÿ                     
{1835}{1841}|       ÿ                  
{1847}{1852}|          ÿ               
{1856}{1862}|            ÿ             
{1867}{1872}|              ÿ           
{1877}{1893}|                 ÿ        
{1898}{1902}|                    ÿ     
{1907}{1912}|                      ÿ   
{1917}{1953}|                        ÿ 
{1969}{1977}|ÿ                           
{1977}{1986}|  ÿ                         
{1986}{1993}|    ÿ                       
{1993}{2001}|       ÿ                    
{2005}{2011}|        ÿ                   
{2016}{2020}|          ÿ                 
{2025}{2042}|             ÿ              
{2047}{2052}|               ÿ            
{2056}{2062}|                 ÿ          
