{0}{99}ANY PLANET'S KEEPING TWINKLE
{99}{161}NEVER LET ME FORGET
{163}{283}ANYBODY'S KEEPING SECRETS
{283}{344}NEVER LET ME GET BACK
{353}{469}SO MAKE IT TOGETHER NOW hitori janai yo
{469}{548}GIVE ME THE HOLY LAND
{548}{691}harukana kioku daite samayou
{691}{736}OH TEARS OF STARS
{736}{916}mirai e nagareteku ima wo kagayakasete
{916}{1058}nakushita kako no PUZZLE eranda
{1058}{1108}SO IS MY HEART
{1108}{1290}katachi wo kaeta machi zutto kizuiteta yo
{1290}{1465}wasuretai kizu ato ni ROUGE no sora
{1465}{1659}itai KISS de tokaseru nara
{1659}{1738}FATE AND FAKES subete
{1738}{1842}daijina koto wa nani oshiete
{1842}{1925}LOVE AND PAIN marude
{1925}{1985}onaji toki no naka
{1985}{2115}mawaru REFLECTION
{17}{21}|ÿ                           
{21}{23}| ÿ                          
{27}{32}|    ÿ                       
{32}{35}|       ÿ                    
{35}{38}|             ÿ              
{43}{53}|                ÿ           
{60}{84}|                     ÿ      
{84}{98}|                         ÿ  
{107}{109}|ÿ                  
{113}{119}|  ÿ                
{119}{125}|      ÿ            
{125}{128}|          ÿ        
{128}{135}|             ÿ     
{135}{146}|                ÿ  
{198}{203}|ÿ                        
{203}{210}| ÿ                       
{210}{215}|   ÿ                     
{215}{219}|     ÿ                   
{219}{229}|          ÿ              
{229}{239}|             ÿ           
{244}{261}|                  ÿ      
{267}{282}|                    ÿ    
{291}{296}|ÿ                    
{296}{298}|  ÿ                  
{302}{308}|      ÿ              
{308}{312}|          ÿ          
{312}{319}|             ÿ       
{319}{329}|                 ÿ   
{388}{390}|ÿ                                      
{394}{396}|   ÿ                                   
{400}{403}|        ÿ                              
{403}{406}|           ÿ                           
{406}{413}|             ÿ                         
{413}{416}|               ÿ                       
{416}{422}|                    ÿ                  
{422}{429}|                        ÿ              
{434}{440}|                          ÿ            
{440}{446}|                            ÿ          
{446}{452}|                               ÿ       
{452}{456}|                                 ÿ     
{456}{460}|                                   ÿ   
{460}{468}|                                     ÿ 
{469}{548}GIVE ME THE HOLY LAND
{474}{480}|ÿ                    
{484}{491}|     ÿ               
{491}{494}|        ÿ            
{498}{505}|            ÿ        
{505}{509}|              ÿ      
{509}{547}|                 ÿ   
{572}{578}|ÿ                           
{578}{580}|  ÿ                         
{584}{586}|    ÿ                       
{590}{600}|      ÿ                     
{607}{619}|         ÿ                  
{619}{624}|           ÿ                
{624}{630}|            ÿ               
{630}{636}|               ÿ            
{636}{647}|                 ÿ          
{647}{655}|                  ÿ         
{664}{667}|                     ÿ      
{671}{677}|                       ÿ    
{677}{683}|                         ÿ  
{683}{690}|                           ÿ
{698}{704}|ÿ                
{704}{711}|   ÿ             
{716}{722}|         ÿ       
{727}{735}|            ÿ    
{755}{761}|ÿ                                     
{761}{764}|  ÿ                                   
{769}{774}|    ÿ                                 
{774}{784}|      ÿ                               
{789}{799}|        ÿ                             
{803}{808}|          ÿ                           
{808}{814}|            ÿ                         
{814}{820}|              ÿ                       
{820}{826}|                ÿ                     
{831}{837}|                   ÿ                  
{837}{843}|                    ÿ                 
{843}{849}|                       ÿ              
{854}{863}|                          ÿ           
{863}{867}|                            ÿ         
{867}{872}|                              ÿ       
{872}{878}|                                ÿ     
{878}{883}|                                  ÿ   
{883}{915}|                                    ÿ 
{941}{946}|ÿ                              
{946}{953}|  ÿ                            
{953}{959}|    ÿ                          
{959}{964}|       ÿ                       
{976}{983}|          ÿ                    
{987}{993}|            ÿ                  
{993}{999}|               ÿ               
{999}{1004}|                  ÿ            
{1004}{1016}|                    ÿ          
{1016}{1023}|                      ÿ        
{1033}{1039}|                         ÿ     
{1039}{1045}|                          ÿ    
{1045}{1051}|                            ÿ  
{1051}{1057}|                             ÿ 
{1066}{1069}|ÿ             
{1073}{1080}|   ÿ          
{1085}{1090}|      ÿ       
{1095}{1107}|         ÿ    
{1124}{1127}|ÿ                                        
{1131}{1137}|  ÿ                                      
{1137}{1143}|    ÿ                                    
{1143}{1148}|        ÿ                                
{1159}{1170}|           ÿ                             
{1170}{1176}|             ÿ                           
{1176}{1183}|              ÿ                          
{1183}{1189}|                 ÿ                       
{1189}{1195}|                   ÿ                     
{1200}{1205}|                       ÿ                 
{1205}{1211}|                         ÿ               
{1211}{1217}|                          ÿ              
{1222}{1226}|                             ÿ           
{1230}{1234}|                               ÿ         
{1234}{1236}|                                 ÿ       
{1240}{1242}|                                  ÿ      
{1246}{1252}|                                    ÿ    
{1252}{1289}|                                       ÿ 
{1313}{1319}|ÿ                                  
{1319}{1326}|  ÿ                                
{1326}{1332}|    ÿ                              
{1332}{1338}|      ÿ                            
{1338}{1344}|        ÿ                          
{1344}{1360}|          ÿ                        
{1360}{1366}|            ÿ                      
{1366}{1371}|               ÿ                   
{1376}{1383}|                ÿ                  
{1383}{1388}|                   ÿ               
{1393}{1401}|                      ÿ            
{1401}{1411}|                        ÿ          
{1411}{1417}|                         ÿ         
{1417}{1424}|                            ÿ      
